"","code","canton","departement","cereales","racines_et_legumes_divers","cultures_diverses","prairies_artificielles","jacheres","total_des_terres_labourables","prairies_naturelles","vignes","autres_cultures_arborescentes","paturages","autres_surfaces_ecoumene","superficie_totale","marais_susceptibles_d_etre_desseches","code_dep","geometry"
"1",895,"TONNERRE","YONNE",47563,2998,816,9375,18832,79584,2560,5962,363,2543,30221,121233,100,"89",c(773089.435932853, 6749330.5744235)
"2",894,"SENS","YONNE",42853,2300,1139,16807,19234,82333,4224,4837,212,2160,28442,122208,27,"89",c(722581.322807988, 6788326.22259092)
"3",893,"JOIGNY","YONNE",50004,6690,2980,22188,34028,115890,8390,7362,139,2429,62486,196696,57,"89",c(730512.4757142, 6767736.1900785)
"4",892,"AVALLON","YONNE",33763,1738,989,4532,16378,57400,7329,3372,308,2140,29387,99936,0,"89",c(769261.168016061, 6709341.07885781)
"5",891,"AUXERRE","YONNE",63562,4339,1720,21829,35096,126546,9071,16199,597,5431,44888,202732,279,"89",c(743581.205631665, 6743883.4947013)
"6",885,"SAINT DIE","VOSGES",18102,9818,1281,1030,9450,39681,23746,41,78,11035,63521,138102,125,"88",c(991970.057453114, 6806946.70631682)
"7",884,"Remiremont","VOSGES",8523,4988,423,373,5298,19605,23019,0,58,11143,33728,87553,211,"88",c(966959.331460843, 6773089.271003)
"8",883,"NEUFCHATEAU","VOSGES",39874,3440,1159,3957,16357,64787,10457,2208,435,2688,42235,122810,26,"88",c(899214.891042729, 6809670.17854386)
"9",882,"MIRECOURT","VOSGES",38441,3343,1133,5470,16333,64720,11016,2313,839,1162,32433,112483,67,"88",c(931242.094069843, 6803830.59200954)
"10",881,"EPINAL","VOSGES",38372,8784,1473,4880,14231,67740,16938,460,757,3530,57623,147048,19,"88",c(959149.140570838, 6790537.8274482)
"11",874,"SAINT YRIEIX","HAUTE VIENNE",19944,2388,1008,270,9271,32881,23164,5,14161,7054,13468,90733,0,"87",c(559711.379538679, 6493587.83973427)
"12",873,"ROCHECHOUART","HAUTE VIENNE",23452,4180,1548,84,7285,36549,20737,880,9769,3328,8582,79845,0,"87",c(532921.875395801, 6527739.32647316)
"13",872,"LIMOGES","HAUTE VIENNE",45612,3152,2181,541,24281,75767,47000,730,26974,33717,15967,200155,2824,"87",c(562358.969500704, 6530106.55424853)
"14",871,"BELLAC","HAUTE VIENNE",35289,5203,1951,625,41948,85016,51741,1522,5873,20651,16121,180924,2500,"87",c(548025.400775433, 6557616.7408435)
"15",865,"POITIERS","VIENNE",62235,3770,3057,19619,31330,120011,10521,12508,19,13850,34214,191123,427,"86",c(498770.907692719, 6612744.93772505)
"16",864,"MONTMORILLON","VIENNE",46541,2487,1972,6256,43613,100869,18765,5661,36,38899,23700,187930,4,"86",c(538292.876739002, 6594282.87067141)
"17",863,"LOUDUN","VIENNE",39897,2111,812,7825,14762,65407,4227,5122,0,2490,12672,89918,79,"86",c(480100.41623663, 6660851.08410547)
"18",862,"CIVRAY","VIENNE",35579,2252,1828,8651,19803,68113,8714,3015,770,20832,14144,115588,10,"86",c(491575.222647949, 6563885.30273826)
"19",861,"CHATELLERAULT","VIENNE",35489,3497,1286,9733,16896,66901,4058,5304,13,11585,24617,112478,0,"86",c(513857.04365229, 6637828.51861742)
"20",853,"LES SABLES D'OLONNE","VENDEE",56399,17888,2705,8286,47686,132964,44157,4645,295,23630,17246,222937,5422,"85",c(335263.313023611, 6613942.57723396)
"21",852,"FONTENAY LE COMTE","VENDEE",63760,7797,6200,12393,41786,131936,46794,5650,524,4290,21301,210495,4477,"85",c(409337.023806331, 6602387.91097304)
"22",851,"La Roche-sur-Yon","VENDEE",63814,21278,4430,10346,59385,159253,28990,5200,769,19520,23186,236918,5,"85",c(362529.148958942, 6627863.87731624)
"23",844,"ORANGE","VAUCLUSE",22074,2580,2993,3348,13241,44236,1462,9931,743,17097,24263,97732,27,"84",c(844286.551352759, 6338024.68553901)
"24",843,"CARPENTRAS","VAUCLUSE",21425,6065,392,2699,14687,45268,1715,4839,690,19007,13418,84937,17,"84",c(864895.565217985, 6331471.3521631)
"25",842,"AVIGNON","VAUCLUSE",12475,1490,5731,2830,3958,26484,1288,5145,875,7504,8436,49732,0,"84",c(847179.449185571, 6317552.71080332)
"26",841,"APT","VAUCLUSE",20018,4430,931,3729,15884,44992,1218,9055,1317,25112,40676,122370,0,"84",c(891371.121571037, 6312051.84746213)
"27",834,"TOULON","VAR",11107,908,811,1361,5455,19642,598,26841,7169,14000,60820,129070,115,"83",c(938787.641720935, 6230785.32240893)
"28",833,"GRASSE","VAR",15035,1514,151,815,8307,25822,1360,11390,8856,41281,31149,119858,0,"06",c(1017546.12249681, 6292024.47154781)
"29",832,"DRAGUIGNAN","VAR",35318,2923,233,1637,18832,58943,3932,23512,22360,59700,107837,276284,36,"83",c(980102.14189393, 6276760.89854414)
"30",831,"BRIGNOLES","VAR",34220,2809,136,1643,9765,48573,1147,23457,10680,11462,102080,197399,26,"83",c(949293.445241194, 6259153.16285803)
"31",823,"MONTAUBAN","TARN ET GARONNE",52476,5655,1521,8726,25053,93431,7146,14008,882,10070,34391,159928,20,"82",c(568890.102506194, 6326102.02418405)
"32",822,"MOISSAC","TARN ET GARONNE",35477,3176,837,6321,13489,59300,4206,8853,5,4479,13749,90592,0,"82",c(547964.808379779, 6337706.29483899)
"33",821,"CASTELSARRASIN","TARN ET GARONNE",41727,3373,1393,5185,25454,77132,7401,15106,3,3297,18557,121496,0,"82",c(549456.501708359, 6330079.8294976)
"34",814,"LAVAUR","TARN",36198,1413,724,5048,14407,57790,3608,7020,6,1139,11543,81106,0,"81",c(604339.963262622, 6288770.4192179)
"35",813,"GAILLAC","TARN",38707,6182,1366,5322,18724,70301,5164,16635,547,5211,29342,127200,0,"81",c(610820.387465407, 6313170.83639975)
"36",812,"CASTRES","TARN",56171,7225,1728,5031,49416,119571,21803,5207,817,32575,43031,223004,314,"81",c(639018.118890513, 6279641.47163581)
"37",811,"ALBI","TARN",34886,4896,1408,4842,31188,77220,11857,8718,8158,13097,23856,142906,0,"81",c(630319.796800163, 6314826.86152226)
"38",805,"PERONNE","SOMME",53441,7023,12493,15542,12188,100687,2289,0,697,1240,15435,120348,660,"80",c(694681.863977242, 6980841.51561983)
"39",804,"MONTDIDIER","SOMME",46275,4045,3661,12830,8699,75510,1867,0,701,994,12423,91495,66,"80",c(668653.95934341, 6949904.78131978)
"40",803,"DOULLENS","SOMME",28705,2257,8787,7161,8305,55215,485,0,1388,925,7845,65858,210,"80",c(653608.126035243, 7006114.05297829)
"41",802,"AMIENS","SOMME",86023,8242,7172,18313,27367,147117,5093,0,1824,2666,23250,179950,274,"80",c(648566.71159599, 6978010.66765444)
"42",801,"ABBEVILLE","SOMME",65900,12156,9102,13348,21235,121741,4325,0,4837,5260,22306,158469,2235,"80",c(616358.425471388, 7001932.29071531)
"43",794,"PARTHENAY","DEUX SEVRES",45810,9298,3116,5954,43307,107485,18736,2352,14,8328,21115,158030,103,"79",c(452641.234370864, 6621259.83305636)
"44",793,"NIORT","DEUX SEVRES",52326,2497,3449,7996,29287,95555,19735,9702,1027,1223,14151,141393,2423,"79",c(433798.808485631, 6586667.42085462)
"45",792,"MELLE","DEUX SEVRES",51605,3432,3011,12268,29363,99679,11168,3804,482,1075,21085,137293,454,"79",c(457661.198745603, 6572419.80372883)
"46",791,"BRESSUIRE","DEUX SEVRES",54624,9552,2595,6492,33756,107019,23488,5802,72,10490,16401,163272,0,"79",c(435503.83206881, 6646399.34715542)
"47",786,"VERSAILLES","SEINE ET OISE",22296,6773,7686,6440,1476,44671,4178,7695,873,807,26544,84768,0,"78",c(635301.040195475, 6856341.34204464)
"48",785,"RAMBOUILLET","SEINE ET OISE",50617,2995,3313,13506,11669,82100,5351,1453,229,2546,40880,132559,125,"78",c(614109.011966181, 6839926.17100074)
"49",784,"PONTOISE","SEINE ET OISE",48744,6952,5222,11157,8225,80300,3207,2878,982,720,23232,111319,1030,"95",c(634179.428981827, 6883589.13815575)
"50",783,"MANTES","SEINE ET OISE",34189,4211,1966,11727,9847,61940,2405,2349,230,2069,18702,87695,84,"78",c(605589.4897609, 6875799.75560306)
"51",782,"ETAMPES","SEINE ET OISE",35845,3682,810,9753,9926,60016,2263,1901,458,1560,13821,80019,0,"91",c(637291.81689345, 6813938.28297501)
"52",781,"Corbeil-Essonnes","SEINE ET OISE",24244,3746,5617,6112,3246,42965,2370,4128,232,510,13799,64004,0,"91",c(660520.523417954, 6833144.53005241)
"53",775,"PROVINS","SEINE ET MARNE",47844,2005,1779,17638,21292,90558,9100,2721,102,1667,18295,122443,648,"77",c(720992.435284753, 6829224.30069284)
"54",774,"MELUN","SEINE ET MARNE",36125,2449,5954,12290,14492,71310,3801,4274,236,2418,26484,108523,87,"77",c(674548.130519561, 6826929.79572627)
"55",773,"MEAUX","SEINE ET MARNE",52018,4580,3887,18901,12624,92010,7538,4645,1349,361,19768,125671,6,"77",c(692933.120486861, 6873042.45853597)
"56",772,"FONTAINEBLEAU","SEINE ET MARNE",42319,3548,1216,13341,22205,82629,3642,7325,61,2620,26304,122581,420,"77",c(676451.153684048, 6813749.22075979)
"57",771,"COULOMMIERS","SEINE ET MARNE",33242,2333,1520,11954,15406,64455,6600,2198,539,248,20376,94416,40,"77",c(706741.783748787, 6856618.15196786)
"58",765,"YVETOT","SEINE INFERIEURE",45440,9055,7502,13748,4097,79842,5786,0,9344,2007,18619,115598,0,"76",c(538682.429069974, 6948848.78975873)
"59",764,"ROUEN","SEINE INFERIEURE",42811,8230,4834,12522,2443,70840,10827,0,9794,3394,33540,128395,0,"76",c(561529.518802159, 6928536.92850504)
"60",763,"NEUFCHATEL","SEINE INFERIEURE",49177,3458,984,16756,13431,83806,13212,0,9024,3330,45174,154546,85,"76",c(588124.767288704, 6961434.63935385)
"61",762,"LE HAVRE","SEINE INFERIEURE",38350,3455,6087,12980,6949,67821,2387,0,4813,1081,11700,87802,58,"76",c(492134.212522113, 6936714.56602945)
"62",761,"DIEPPE","SEINE INFERIEURE",47485,7603,6349,13547,6446,81430,7751,0,9299,3673,15056,117209,41,"76",c(562285.50178378, 6981808.75074947)
"63",753,"SCEAUX","SEINE",7749,3026,2703,1966,160,15604,786,1463,135,222,5707,23917,0,"92",c(648287.714058889, 6853108.71982734)
"64",752,"SAINT DENIS","SEINE",5086,4759,1363,881,0,12089,365,1288,0,0,6467,20209,0,"93",c(653522.241084969, 6869833.10473623)
"65",751,"PARIS","SEINE",0,0,302,0,0,302,0,0,0,0,3122,3424,0,"75",c(652089.607145438, 6862294.14214221)
